"","x"
"192","RT @PopSci: China’s private space industry prepares to compete with Spacex and Blue Origin: https://t.co/ufUxD9pPXV https://t.co/DebvlEWOpB"
"193","RT @aaronraimist: SpaceVR, SpaceX to launch VR camera into space in August https://t.co/TL0b1NlxUl https://t.co/F0AHsLByfl"
"194","RT @mohammadshaikh_: ""Chris Wallace"" In Favor Of CNN
""Jimmie Johnson""Racer
#NASCAR Clash
#SpaceX Lanched Successfull
#HDIA Hocky Day 
Suède…"
"195","RT @wolfejosh: Skeptics ������
True believers ������...Got fleeced
New equity wasnt for ""growth"" but to bail out Elon + SpaceX personal holding of So…"
"196","RT @deanwithey: Elon Musk knew nothing about rockets when he started SpaceX. Think about that when you delay your dream (again)."
"197","NASA: No one can go to Mars before the 2030's!

SpaceX: Hold my beer."
"198","RT @JoachimDeVos: #24h #reuse - #nonstoprockets @elonmusk Has Announced a New Goal for @SpaceX , and It’s Utterly #Revolutionary https://t.…"
"199","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"200","RT @aaronraimist: SpaceVR, SpaceX to launch VR camera into space in August https://t.co/TL0b1NlxUl https://t.co/F0AHsLByfl"
"201","@altonbrown Also, LOVING the Falcon 9 sticker! #SpaceX"
"202","RT @aaronraimist: SpaceVR, SpaceX to launch VR camera into space in August https://t.co/TL0b1NlxUl https://t.co/F0AHsLByfl"
"203","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"204","@Sally__bell View that Flickr gallery with Flickrock! https://t.co/MLRDtq72e4"
"205","@patterson_lili View that Flickr gallery using Flickrock! https://t.co/MLRDtq72e4"
"206","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"207","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"208","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"209","RT @davino1959: Purge the Verge #FakeSpace #FakeSpaceAgencies #NASA #VERGE #SpaceX #FlatEarth https://t.co/uSLI0O5fSb"
"210","RT @asandj_alim: И первая ступень РН #falcon9 #SpaceX Илона Маска приземляется на такую платформу и не разбрасывает мусор и гептил от #қаза…"
"211","@wildbillhkhk @GodKingNobody @shotgunsusie @malo_j @dwolfman54 @facebones777 @NothingSirius @dan__315 @JimJerrolds… https://t.co/b8VjESlkJf"
"212","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"213","""I wish I had thought of this."" - Elon Musk #spacex #stopdrymarkeritis https://t.co/Y6p5b9pI4M"
"214","RT @Step_Holt: ""With darkness, #Earths horizon and thin line of atmosphere forming a backdrop, the #SpaceX #Dragon commercial..."" #cosmos #…"
"215","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"216","Success for SpaceX 're-usable rocket' - BBC News
https://t.co/muWPiYJlAy https://t.co/mI5IehCfLM"
